#daq_ch domain Theta Phi Time_Offset UpperThresholdCS AwAe offset and slope nb_par_cal cal_pars 
#100  100 152  90  0 	      	25 	0  1 2 -0.0000 1.000000
101  101 152  90  0 	      	25 	0  1 2 0.3165 0.969058
102  102 152  90  0 	      	25 	0  1 2 -1.3875 0.342237
103  103 152  90  0	 	10 	0  1 2 2.2547 0.341123
104  104 152  90  0 		10	0  1 2 0.5696 0.336361
105  105 119  90  0 		22	0  1 2 -0.4544 0.341293
106  106 129   36 0	 	15    	0  1 2 1.5201 0.342628
107  107 119   72 0	 	15	0  1 2 1.7259 0.333326
108  108 129  108 0	 	15	0  1 2 1.3721 0.338230
109  109 119  144 0	 	18	0  1 2 0.1926 0.315733
#110  110 119  144 36	 	18	0  1 2 -0.0000 1.000000
111  111 129  180 36 		20	0  1 2 -4.4410 1.000545
112  112 119  216 36 		12	0  1 2 1.5504 0.334260
113  113 129  252 36		14	0  1 2 -1.7926 0.338453
114  114 119  288 36		17	0  1 2 -3.9697 0.334870
115  115 129  324 36		16	0  1 2 -0.3488 0.338421
116  116 90   18  36		20	0  1 2 2.0633 0.332609
117  117 90   54  36		15	0  1 2 1.6478 0.329966
118  118 90   90  36		14	0  1 2 -0.9075 0.337567
119  119 90  126  36		12	0  1 2 -0.9812 0.312935
#120  120 90  162 72		14	0  1 2 -0.0000 1.000000
121  121 90  198 72		11	0  1 2 -6.3270 0.976992
122  122 90  234 72		16	0  1 2 -3.4806 0.336518
123  123 90  270 72		19	0  1 2 2.6082 0.328224
124  124 90  306 72		14	0  1 2 0.6420 0.332442
125  125 90  342 72		15	0  1 2 1.4211 0.335298
126  126 90  342 72		15	0  1 2 1.1453 0.323324
127  127 90  342 72		15	0  1 2 2.3295 0.329773
128  128 90  342 72		15	0  1 2 -0.2884 0.337254
129  129 90  342 72		15	0  1 2 1.7018 0.325047
#130  130 90  342 92		15	0  1 2 -0.0000 1.000000
131  131 90  342 92		15	0  1 2 5.8748 0.930253
132  132 90  342 92		15	0  1 2 2.0519 0.334465
133  133 90  342 92		15	0  1 2 1.3588 0.323728
134  134 90  342 92		15	0  1 2 1.5577 0.328454
135  135 90  342 92		15	0  1 2 0.8507 0.329374
136  136 90  342 92		15	0  1 2 3.8409 0.332119
137  137 90  342 92		15	0  1 2 2.8250 0.324682
138  138 90  342 92		15	0  1 2 1.1103 0.329874
139  139 90  342 92		15	0  1 2 0.7877 0.324867
#140 140 90  342 92		15	0  1 2 -0.0000 1.000000
